2026-01-30 11:56:45,376 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_5 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 11:56:46,377 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_6
2026-01-30 11:56:46,378 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
2026-01-30 11:56:46,379 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_6 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 11:56:52,381 - AppLogger - INFO - Service: HealthMonitor | Event: HEALTH_CHECK_INIT | Retry: 0 | Circuit: CLOSED | Details: Starting periodic health check..
2026-01-30 11:56:52,383 - AppLogger - INFO - Service: ElevenLabs | Event: HEALTH_CHECK_SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Service is healthy again. Resetting Circuit Breaker.
2026-01-30 11:56:52,384 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: CLOSED | Details: Transitioned to CLOSED
2026-01-30 11:56:52,384 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_7
2026-01-30 11:56:52,384 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_7
2026-01-30 11:56:52,385 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_8
2026-01-30 11:56:52,385 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_8
2026-01-30 12:06:35,458 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_1
2026-01-30 12:06:35,459 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_1
2026-01-30 12:06:35,459 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_2
2026-01-30 12:06:35,459 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 12:06:40,464 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
